"Timestamp","1. What is your age group? ","2. What is your gender? ","3. What is your highest level of education? ","4. What is your current field of occupation or education? ","5. How do you identify your ethnicity? ","6. Are you still attending college?","7. What is your state of residence? Please enter the full name of your state (e.g., 'California' instead of 'CA')","7. Do you think having a general understanding of Intellectual Property (IP) law is necessary for people who don’t work in law or technical fields? ","8. To what extent do you think you know about Intellectual Property (IP) law? ","9. Which of the following best describes a copyright?  (Select one) ","10. Which of the following best describes a (utility) patent?  (select one) ","11. Which of the following best describes a trademark? (Select one) ","12. Which of the following is the main purpose of intellectual property protections? (Select one) ","13. If you download a song from the internet without paying for it, do you think this is: ","14. If you invent a new type of motor engine, which type of IP protection would you seek? ","15. If you write a novel and want to protect your rights, which type of IP protection would you seek? ","16. If you create a new logo for your company, which type of IP protection would you seek? ","17. Select the statements that you think are ACCURATE under U.S. INTELLECTUAL PROPERTY (IP) LAW: 
(Select all that apply) ","19. Which form of IP protection did you apply for? 
(Please skip this section if you have never applied IP protection before)","20. Did you apply for the IP protection through a third party (e.g., law firm)? 
(Please skip this section if you have never applied IP protection before)","21. How would you describe the difficulty of the process of applying for IP protection (whether you applied yourself or used a third party)? 
(Please skip this section if you have never applied IP protection before)","22. Do you think the process of applying for IP protection would have been easier if you had done it differently (e.g., hiring a third party or filing it yourself)? ","23. If you had something that required IP protection again, which factors would most affect your decision to apply yourself or hire a third party? 
(Select all that apply) ","19. If you were to apply for IP protection, would you do it yourself or hire a third party? ","20. If you had something that required IP protection, which factors would most affect your decision to apply yourself or hire a third party? 
(Select all that apply) ","21. How confident are you in your ability to understand the IP application process (even if you haven’t applied before)?"
"2024/10/22 5:14:51 PM MDT","35-44","Female","Master’s degree","Business","Mixed Race","Democrat","Yes","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To allow creators and inventors to profit from their work","Not sure","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You can even trademark a color, sound, or smell.","","","","","","I would hire a third party","Cost of hiring a third party;Desire to avoid legal risks","Not very confident"
"2024/10/22 5:16:04 PM MDT","25-34","Female","Master’s degree","Engineering","Asian","Other","No","Yes, it is important","Not at all","A protection for a company’s brand or logo","A legal right given to an inventor to prevent others from making, using, or selling their invention","A protection for an invention or process","To let companies keep their business methods secret","It depends...","Patent","Copyright","Trademark","You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Complexity of the legal procedure;Desire to avoid legal risks","Not confident at all"
"2024/10/22 6:00:42 PM MDT","25-34","Male","Bachelor’s degree (4-year college degree)","Business","White","Independent","Yes","Perhaps important to some extent, but not much","A little","A protection for a company’s brand or logo","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Desire to avoid legal risks","Somewhat confident"
"2024/10/22 9:00:28 PM MDT","35-44","Male","Bachelor’s degree (4-year college degree)","Business","NA","Democrat","Yes","I have no idea","Very well","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To allow creators and inventors to profit from their work","It depends...","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You automatically own the copyright to your work as soon as it is created","Non","No, I applied myself","Neutral (neither easy nor difficult)","I don’t know","I’m not sure","I would hire a third party","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Not confident at all"
"2024/10/23 8:21:41 AM MDT","25-34","Female","Master’s degree","Business","Asian","Prefer not to answer","Yes","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Time required to handle the process yourself;Desire to avoid legal risks","Somewhat confident"
"2024/10/23 4:56:05 PM MDT","25-34","Female","Master’s degree","Healthcare","Asian","Democrat","Yes","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would hire a third party","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Not very confident"
"2024/10/23 6:12:05 PM MDT","25-34","Female","Bachelor’s degree (4-year college degree)","Healthcare","Asian","Democrat","Yes","I have no idea","Not at all","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","","",""
"2024/10/23 6:39:59 PM MDT","25-34","Female","Bachelor’s degree (4-year college degree)","Arts","Asian","Democrat","Yes","Yes, it is important","A little","A protection for an invention or a new process","I have no idea","A symbol, word, or design that identifies a company or product","To let companies keep their business methods secret","Legal","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention","","","","","","I would hire a third party","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Neutral"
"2024/10/23 11:32:17 PM MDT","35-44","Female","Master’s degree","Healthcare","Black or African American","Other","No","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible","","","","","","I would hire a third party","Desire to avoid legal risks;I’m not sure","Neutral"
"2024/10/24 1:52:13 PM MDT","25-34","Male","Master’s degree","Engineering","White","Independent","Yes","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To allow creators and inventors to profit from their work","It depends...","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would hire a third party","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself","Not very confident"
"2024/10/24 1:53:22 PM MDT","18-24","Female","Bachelor’s degree (4-year college degree)","Education","White","Democrat","Yes","I have no idea","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You automatically own the copyright to your work as soon as it is created;You can even trademark a color, sound, or smell.","","","","","","","",""
"2024/10/24 1:56:15 PM MDT","25-34","Male","Master’s degree","Engineering","Asian","Prefer not to answer","No","No, it is not necessary","Moderately","I have no idea","A legal right given to an inventor to prevent others from making, using, or selling their invention","A legal right given to an author for creative work","To allow creators and inventors to profit from their work","Illegal","Patent","Trademark","Copyright","IP protection is global","Trademark","No, I applied myself","Neutral (neither easy nor difficult)","Yes, it would have been easier if I filed it myself","Time required to handle the process myself","I would do it myself","Desire to avoid legal risks","Not very confident"
"2024/10/24 2:06:00 PM MDT","18-24","Female","Some college, no degree","Arts","Black or African American","Democrat","No","Yes, it is important","Not at all","A protection for a company’s brand or logo","A legal right for creative works like movies and books","A symbol, word, or design that identifies a company or product","To allow creators and inventors to profit from their work","It depends...","Copyright","Copyright","Copyright","Content available on the internet can be freely used if no copyright notice is visible","Trademark","No, I applied myself","Very easy","Yes, it would have been easier with a third party","Cost of hiring a third party (money)","I would do it myself","Cost of hiring a third party","Very confident"
"2024/10/24 2:12:38 PM MDT","25-34","Male","Bachelor’s degree (4-year college degree)","Healthcare","Hispanic or Latino","Democrat","Yes","Yes, it is important","Not at all","A legal right granted to an author or creator of original work","I have no idea","A symbol, word, or design that identifies a company or product","I have no idea","Illegal","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Time required to handle the process yourself;Desire to avoid legal risks","Not very confident"
"2024/10/24 2:38:47 PM MDT","25-34","Female","Bachelor’s degree (4-year college degree)","Science","White","Democrat","Yes","Yes, it is important","A little","A protection for a company’s brand or logo","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Not sure","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You can even trademark a color, sound, or smell.","","","","","","I’m not sure","I’m not sure","Not confident at all"
"2024/10/24 4:30:31 PM MDT","55-64","Male","Bachelor’s degree (4-year college degree)","Business","Asian","Democrat","No","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To allow creators and inventors to profit from their work","Illegal","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.","","","","","","I would hire a third party","Complexity of the legal procedure;Time required to handle the process yourself","Neutral"
"2024/10/24 5:30:35 PM MDT","18-24","Male","Master’s degree","Business","White","Independent","No","Yes, it is important","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Copyright","IP protection is global;You automatically own the copyright to your work as soon as it is created;Content available on the internet can be freely used if no copyright notice is visible","","","","","","","",""
"2024/10/25 11:58:57 AM MDT","25-34","Male","Master’s degree","Business","Asian","Other","No","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","I have no idea","A symbol, word, or design that identifies a company or product","To make sure everyone has access to creative works for free","Legal","Copyright","Copyright","Copyright","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;You automatically own the copyright to your work as soon as it is created;Content available on the internet can be freely used if no copyright notice is visible;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","Copyright","No, I applied myself","Neutral (neither easy nor difficult)","Yes, it would have been easier if I filed it myself","Cost of hiring a third party (money)","I would hire a third party","Cost of hiring a third party","Somewhat confident"
"2024/10/25 12:01:02 PM MDT","25-34","Female","Bachelor’s degree (4-year college degree)","Healthcare","Asian","Independent","No","Yes, it is important","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Not sure","Copyright","Not sure","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself","Not confident at all"
"2024/10/25 12:05:32 PM MDT","25-34","Male","Master’s degree","Business","Asian","Prefer not to answer","No","Yes, it is important","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible","no","Yes, I used a third party (law firm, consultant, etc.)","Neutral (neither easy nor difficult)","I don’t know","I’m not sure","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Desire to avoid legal risks","Neutral"
"2024/10/25 12:36:48 PM MDT","18-24","Female","Master’s degree","Technology","Asian","Prefer not to answer","No","Perhaps important to some extent, but not much","Not at all","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would hire a third party","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Neutral"
"2024/10/25 1:17:26 PM MDT","18-24","Female","Some college, no degree","Business","White","Democrat","Yes","Perhaps important to some extent, but not much","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A legal right given to an author for creative work","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would hire a third party","Cost of hiring a third party","Neutral"
"2024/10/25 1:25:20 PM MDT","18-24","Male","Master’s degree","Technology","Asian","Democrat","No","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To let companies keep their business methods secret","Not sure","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Somewhat confident"
"2024/10/25 1:30:56 PM MDT","18-24","Female","Bachelor’s degree (4-year college degree)","Business","Asian","Independent","No","Yes, it is important","Moderately","A protection for an invention or a new process","A legal right for creative works like movies and books","A legal right given to an author for creative work","To let companies keep their business methods secret","It depends...","Copyright","Not sure","Not sure","IP protection is global;You can even trademark a color, sound, or smell.","Copyright","No, I applied myself","Neutral (neither easy nor difficult)","I don’t know","","I would hire a third party","Complexity of the legal procedure","Very confident"
"2024/10/25 1:59:28 PM MDT","18-24","Male","Bachelor’s degree (4-year college degree)","Business","Asian","Prefer not to answer","Yes","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","I have no idea","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Not sure","Patent","Copyright","Copyright","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;You can even trademark a color, sound, or smell.","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Not very confident"
"2024/10/25 2:31:31 PM MDT","25-34","Female","Master’s degree","Business","Asian","Independent","No","Yes, it is important","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Legal","Patent","Copyright","Trademark","IP protection is global;You automatically own the copyright to your work as soon as it is created;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")"," no","","","","","I would consult with both options before deciding","Complexity of the legal procedure;Desire to avoid legal risks","Neutral"
"2024/10/25 3:48:39 PM MDT","45-54","Female","Bachelor’s degree (4-year college degree)","Technology","Asian","Republican","Yes","Yes, it is important","A little","A protection for an invention or a new process","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","General ideas or concepts can be patented, even if they haven't been developed into an actual invention","","Yes, I used a third party (law firm, consultant, etc.)","Somewhat easy","I don’t know","Cost of hiring a third party (money)","I would consult with both options before deciding","Cost of hiring a third party","Neutral"
"2024/10/25 3:50:28 PM MDT","25-34","Male","Associate’s degree (2-year college degree)","Student","Black or African American","Other","Yes","Perhaps important to some extent, but not much","Not at all","A protection for a company’s brand or logo","A legal right given to an inventor to prevent others from making, using, or selling their invention","A protection for an invention or process","To allow creators and inventors to profit from their work","It depends...","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","I don’t know","Time required to handle the process myself","I would do it myself","Complexity of the legal procedure;Desire to avoid legal risks","Neutral"
"2024/10/25 4:25:10 PM MDT","55-64","Male","Master’s degree","Engineering","Asian","Prefer not to answer","Yes","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Complexity of the legal procedure","Neutral"
"2024/10/25 5:55:26 PM MDT","18-24","Female","Some college, no degree","Education","Asian","Prefer not to answer","No","I have no idea","Not at all","A protection for a company’s brand or logo","I have no idea","I have no idea","I have no idea","Not sure","Not sure","Not sure","Not sure","IP protection is global;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","I’m not sure","I’m not sure","I’m not sure","Not confident at all"
"2024/10/25 8:16:20 PM MDT","18-24","Female","Bachelor’s degree (4-year college degree)","Business","Asian","Prefer not to answer","Yes","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered","","","","","","","",""
